created_at,entry_id,field1,field2,field3
2022-05-24 00:08:59 UTC,54,3.43578,-76.5373545,24/05/2022 00:08
2022-05-24 00:09:15 UTC,55,3.436279833,-76.53727767,24/05/2022 00:09
2022-05-24 00:09:30 UTC,56,3.436480667,-76.53718267,24/05/2022 00:09
2022-05-24 00:09:46 UTC,57,3.437545667,-76.53669367,24/05/2022 00:09
2022-05-24 00:10:02 UTC,58,3.4387415,-76.5374455,24/05/2022 00:10
2022-05-24 00:10:20 UTC,59,3.439703833,-76.53679567,24/05/2022 00:10
2022-05-24 00:10:54 UTC,60,3.440382667,-76.53634367,24/05/2022 00:10
2022-05-24 00:11:09 UTC,61,3.444572167,-76.53656117,24/05/2022 00:11
2022-05-24 00:11:24 UTC,62,3.446411167,-76.536378,24/05/2022 00:11
2022-05-24 00:11:40 UTC,63,3.447727167,-76.53672867,24/05/2022 00:11
2022-05-24 00:11:55 UTC,64,3.448976833,-76.537208,24/05/2022 00:11
2022-05-24 00:12:11 UTC,65,3.450352333,-76.537716,24/05/2022 00:12
2022-05-24 00:12:26 UTC,66,3.451112,-76.53725567,24/05/2022 00:12
2022-05-24 00:12:42 UTC,67,3.451112,-76.53725567,24/05/2022 00:12
2022-05-24 00:12:57 UTC,68,3.451112,-76.53725567,24/05/2022 00:13
2022-05-24 00:13:13 UTC,69,3.451112,-76.53725567,24/05/2022 00:13
2022-05-24 00:13:30 UTC,70,3.456201167,-76.53082467,24/05/2022 00:13
2022-05-24 00:13:46 UTC,71,3.457109167,-76.530787,24/05/2022 00:13
2022-05-24 00:14:01 UTC,72,3.4579305,-76.53192683,24/05/2022 00:14
2022-05-24 00:14:17 UTC,73,3.4579335,-76.5320555,24/05/2022 00:14
2022-05-24 00:14:32 UTC,74,3.458034667,-76.53211767,24/05/2022 00:14
2022-05-24 00:14:47 UTC,75,3.4583355,-76.5325325,24/05/2022 00:14
2022-05-24 00:15:03 UTC,76,3.458818333,-76.53240983,24/05/2022 00:15
2022-05-24 00:15:19 UTC,77,3.4595855,-76.53196417,24/05/2022 00:15
2022-05-24 00:15:34 UTC,78,3.4596315,-76.53197617,24/05/2022 00:15
2022-05-24 00:15:49 UTC,79,3.459604333,-76.53201117,24/05/2022 00:15
2022-05-24 00:16:04 UTC,80,3.459627,-76.53194867,24/05/2022 00:16
2022-05-24 00:16:20 UTC,81,3.459736833,-76.53186433,24/05/2022 00:16
2022-05-24 00:16:35 UTC,82,3.4602985,-76.53148967,24/05/2022 00:16
2022-05-24 00:16:51 UTC,83,3.460534,-76.5313735,24/05/2022 00:16
2022-05-24 00:17:07 UTC,84,3.461357167,-76.53093283,24/05/2022 00:17
2022-05-24 00:17:22 UTC,85,3.4623745,-76.5306115,24/05/2022 00:17
2022-05-24 00:17:38 UTC,86,3.463128667,-76.5304255,24/05/2022 00:17
2022-05-24 00:17:54 UTC,87,3.463949667,-76.530244,24/05/2022 00:17
2022-05-24 00:18:11 UTC,88,3.4652735,-76.530149,24/05/2022 00:18
2022-05-24 00:18:26 UTC,89,3.465907333,-76.53017133,24/05/2022 00:18
2022-05-24 00:18:42 UTC,90,3.466123167,-76.53015167,24/05/2022 00:18
2022-05-24 00:18:58 UTC,91,3.466544833,-76.53012217,24/05/2022 00:18
2022-05-24 00:19:14 UTC,92,3.467563333,-76.52958417,24/05/2022 00:19
2022-05-24 00:19:30 UTC,93,3.468453667,-76.52900333,24/05/2022 00:19
2022-05-24 00:19:46 UTC,94,3.469099333,-76.528489,24/05/2022 00:19
2022-05-24 00:20:03 UTC,95,3.469841,-76.52798783,24/05/2022 00:20
2022-05-24 00:20:19 UTC,96,3.470309333,-76.5277305,24/05/2022 00:20
2022-05-24 00:20:34 UTC,97,3.4704835,-76.52765033,24/05/2022 00:20
2022-05-24 00:20:50 UTC,98,3.470532833,-76.52765567,24/05/2022 00:20
2022-05-24 00:21:06 UTC,99,3.471053,-76.52720167,24/05/2022 00:21
2022-05-24 00:21:22 UTC,100,3.471188333,-76.52715,24/05/2022 00:21
2022-05-24 00:21:38 UTC,101,3.4712365,-76.5271815,24/05/2022 00:21
2022-05-24 00:21:53 UTC,102,3.4714985,-76.52700983,24/05/2022 00:21
2022-05-24 00:22:15 UTC,103,3.472333667,-76.52651,24/05/2022 00:22
2022-05-24 00:22:31 UTC,104,3.473689167,-76.526355,24/05/2022 00:22
2022-05-24 00:22:46 UTC,105,3.473929,-76.52646433,24/05/2022 00:22
2022-05-24 00:23:02 UTC,106,3.473753,-76.52683567,24/05/2022 00:22
2022-05-24 00:23:17 UTC,107,3.473587333,-76.5276625,24/05/2022 00:23
2022-05-24 00:23:33 UTC,108,3.474031167,-76.52763333,24/05/2022 00:23
2022-05-24 00:23:48 UTC,109,3.4742865,-76.5273575,24/05/2022 00:23
2022-05-24 00:24:04 UTC,110,3.474643,-76.52754833,24/05/2022 00:24
2022-05-24 00:24:20 UTC,111,3.474867167,-76.52840333,24/05/2022 00:24
2022-05-24 00:24:36 UTC,112,3.4747765,-76.52921783,24/05/2022 00:24
2022-05-24 00:24:51 UTC,113,3.474225,-76.52927033,24/05/2022 00:24
2022-05-24 00:25:06 UTC,114,3.474179167,-76.52927017,24/05/2022 00:25
2022-05-24 00:25:23 UTC,115,3.474142167,-76.529819,24/05/2022 00:25
2022-05-24 00:25:39 UTC,116,3.474240167,-76.52992617,24/05/2022 00:25
2022-05-24 00:26:35 UTC,117,3.473168333,-76.52810683,24/05/2022 00:26
2022-05-24 00:27:06 UTC,118,3.470856667,-76.52935667,24/05/2022 00:26
2022-05-24 00:27:26 UTC,119,3.468698833,-76.530705,24/05/2022 00:27
